get:2176587,lend:2132025,44562,44562
get:448154,lend:427829,20325,20325
get:101028,lend:93053,7975,7975
get:1240,lend:323,917,917
get:7154,lend:3165,3989,3989
get:1485,lend:1485,0,0
get:22732,lend:21604,1128,1128
get:14562,lend:14111,451,451
get:78665,lend:76337,2328,2328
get:300,lend:100,200,200
get:1024294,lend:510077,514217,514217
get:840444,lend:28087,812357,812357
get:11943,lend:1242,10701,10701
get:9150,lend:3150,6000,6000
get:39861,lend:34055,5806,5806
get:90000,lend:90000,0,0
get:113781,lend:113841,-60,-60
get:1730384,lend:1764496,-34112,-34112
get:200000,lend:300000,-100000,-100000
get:1339780,lend:2339780,-1000000,-1000000
get:870000,lend:1866170,-996170,-996170
get:661359,lend:317145,344214,344214
get:1690,lend:603,1087,1087
get:0,lend:363,-363,-363
get:162,lend:0,162,162
get:1369,lend:0,1369,1369
get:148,lend:40,108,108
get:1244480,lend:1188311,56169,56169
get:160473,lend:140508,19965,19965
get:986,lend:0,986,986
get:4010,lend:0,4010,4010
get:95,lend:0,95,95
get:9678,lend:0,9678,9678
get:67736,lend:33449,34287,34287
get:100824,lend:824,100000,100000
get:4960,lend:1184,3776,3776
get:48234,lend:0,48234,48234
get:24129,lend:0,24129,24129
get:8379,lend:35,8344,8344
get:1575470,lend:1585919,-10449,-10449
get:0,lend:7,-7,-7
get:0,lend:6980,-6980,-6980
get:500,lend:3322,-2822,-2822
get:44898,lend:6641,38257,38257
get:0,lend:157,-157,-157
get:562,lend:177,385,385
get:166,lend:0,166,166
get:24743,lend:0,24743,24743
