序號,科目,描述,借/貸,金額
7734,1113,油資,2,10609
7735,1191,銷售網路線、usb延長線、6插6開15尺延長線,1,9523
7736,1262,媒體投資娛樂費,2,5274
7737,1266,預付租金,1,12530
7738,1284,預付租金,1,2000
7739,2191,蕭榮濱-110年預付薪資發放,1,9000
7740,3113,股東營業費用現金給予,2,40000
7741,4111,案件支付頭期款,2,29406
7742,5111,電子零件*1,1,3936
7743,6111,4月份業務支出,1,1369
7744,6112,Office365,1,14416
7745,6113,標準信封、膠水、中油筆、筆,1,6057
7746,6114,油資,1,6916
7747,6115,2.5吋外接盒藍-運費,1,197
7748,6116,220418-4月-郵電費,1,5590
7749,6123,油資,1,738
7750,6134,碳鋅電池-使用在網路工具的量測電池,1,13017
