序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,
1,WF20220820001,2022/8/20 上午 12:00:00,6113,油資,1,146.00,98981766,69746686,
2,WF20220820001,2022/8/20 上午 12:00:00,6123,油資,1,7.00,98981766,69746686,
3,WF20220820001,2022/8/20 上午 12:00:00,1113,油資,2,153.00,98981766,69746686,
4,WF20220828001,2022/8/28 上午 12:00:00,6113,油資,1,640.00,98981766,69746686,
5,WF20220828001,2022/8/28 上午 12:00:00,6123,油資,1,32.00,98981766,69746686,
6,WF20220828001,2022/8/28 上午 12:00:00,1113,油資,2,672.00,98981766,69746686,
