序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20220701001,2022/7/1 上午 12:00:00,6134,營業費用,1,20.00,61431608,69746686,DD10126504,
2,WF20220701001,2022/7/1 上午 12:00:00,6123,營業費用,1,1.00,61431608,69746686,DD10126504,
3,WF20220701001,2022/7/1 上午 12:00:00,1113,營業費用,2,21.00,61431608,69746686,DD10126504,
4,WF20220701004,2022/7/1 上午 12:00:00,6134,營業費用,1,17.00,61431608,69746686,DD10126627,
5,WF20220701004,2022/7/1 上午 12:00:00,6123,營業費用,1,1.00,61431608,69746686,DD10126627,
6,WF20220701004,2022/7/1 上午 12:00:00,1113,營業費用,2,18.00,61431608,69746686,DD10126627,
7,WF20220701007,2022/7/1 上午 12:00:00,6112,營業地租金-5月份,1,1000.00,,,,
8,WF20220701007,2022/7/1 上午 12:00:00,1262,營業地租金-5月份,2,1000.00,,,,
9,WF20220701009,2022/7/1 上午 12:00:00,6134,媒體投資娛樂費-5月份,1,512.00,,,,
10,WF20220701009,2022/7/1 上午 12:00:00,1262,媒體投資娛樂費-5月份,2,512.00,,,,
11,WF20220701011,2022/7/1 上午 12:00:00,6112,租金支出-6月份,1,1000.00,,,,
12,WF20220701011,2022/7/1 上午 12:00:00,1262,預付租金-6月份,2,1000.00,,,,
13,WF20220701013,2022/7/1 上午 12:00:00,6134,媒體投資娛樂費-6月份,1,512.00,,,,
14,WF20220701013,2022/7/1 上午 12:00:00,1262,媒體投資娛樂費-6月份,2,512.00,,,,
15,WF20220701015,2022/7/1 上午 12:00:00,6112,租金支出-7月份,1,1000.00,,,,
16,WF20220701015,2022/7/1 上午 12:00:00,1262,預付租金-7月份,2,1000.00,,,,
17,WF20220701017,2022/7/1 上午 12:00:00,6134,媒體投資娛樂費-7月份,1,512.00,,,,
18,WF20220701017,2022/7/1 上午 12:00:00,1262,媒體投資娛樂費-7月份,2,512.00,,,,
19,WF20220701019,2022/7/1 上午 12:00:00,6116,220418-4月-郵電費,1,717.00,19683736,69746686,YA-76963977,
20,WF20220701019,2022/7/1 上午 12:00:00,6123,220418-4月-郵電費,1,36.00,,,YA-76963977,
21,WF20220701019,2022/7/1 上午 12:00:00,1113,220418-4月-郵電費,2,753.00,,,YA-76963977,
22,WF20220701022,2022/7/1 上午 12:00:00,6116,220616-6月-郵電費,1,650.00,19683736,69746686,AF-76880337,
23,WF20220701022,2022/7/1 上午 12:00:00,6123,220616-6月-郵電費,1,33.00,19683736,69746686,AF-76880337,
24,WF20220701022,2022/7/1 上午 12:00:00,1113,220616-6月-郵電費,2,683.00,19683736,69746686,AF-76880337,
25,WF20220701025,2022/7/1 上午 12:00:00,6116,20220613-手機費-郵電費,1,244.00,70771579,69746686,AM39254192,
26,WF20220701025,2022/7/1 上午 12:00:00,6123,20220613-手機費-郵電費,1,13.00,70771579,69746686,AM39254192,
27,WF20220701025,2022/7/1 上午 12:00:00,1113,20220613-手機費-郵電費,2,257.00,70771579,69746686,AM39254192,
28,WF20220702001,2022/7/2 上午 12:00:00,6112,Office365-5月份,1,375.00,23525730,69746686,AV74788945,
29,WF20220702001,2022/7/2 上午 12:00:00,6123,Office365-5月份,1,19.00,23525730,69746686,AV74788945,
30,WF20220702001,2022/7/2 上午 12:00:00,1113,Office365-5月份,2,394.00,23525730,69746686,AV74788945,
31,WF20220702004,2022/7/2 上午 12:00:00,6112,Office365-6月份,1,375.00,23525730,69746686,AV74798168,
32,WF20220702004,2022/7/2 上午 12:00:00,6123,Office365-6月份,1,19.00,23525730,69746686,AV74798168,
33,WF20220702004,2022/7/2 上午 12:00:00,1113,Office365-6月份,2,394.00,23525730,69746686,AV74798168,
34,WF20220702007,2022/7/2 上午 12:00:00,6112,Office365-7月份,1,375.00,23525730,69746686,CV74789138,
35,WF20220702007,2022/7/2 上午 12:00:00,6123,Office365-7月份,1,19.00,23525730,69746686,CV74789138,
36,WF20220702007,2022/7/2 上午 12:00:00,1113,Office365-7月份,2,394.00,23525730,69746686,CV74789138,
37,WF20220708001,2022/7/8 上午 12:00:00,6113,油資,1,149.00,98981766,69746686,CB22810042,
38,WF20220708001,2022/7/8 上午 12:00:00,6123,油資,1,7.00,98981766,69746686,CB22810042,
39,WF20220708001,2022/7/8 上午 12:00:00,1113,油資,2,156.00,98981766,69746686,CB22810042,
40,WF20220715001,2022/7/15 上午 12:00:00,6134,水龍頭,1,46.00,61431608,69746686,DD10130571,
41,WF20220715001,2022/7/15 上午 12:00:00,6123,水龍頭,1,2.00,61431608,69746686,DD10130571,
42,WF20220715001,2022/7/15 上午 12:00:00,1113,水龍頭,2,48.00,61431608,69746686,DD10130571,
43,WF20220718001,2022/7/18 上午 12:00:00,6113,營業費用,1,147.00,98981766,69746686,CB22810266,
44,WF20220718001,2022/7/18 上午 12:00:00,6123,營業費用,1,7.00,98981766,69746686,CB22810266,
45,WF20220718001,2022/7/18 上午 12:00:00,1113,營業費用,2,154.00,98981766,69746686,CB22810266,
46,WF20220718004,2022/7/18 上午 12:00:00,6116,郵電費,1,2297.00,19683736,69746686,CF-76740568,
47,WF20220718004,2022/7/18 上午 12:00:00,6123,郵電費,1,121.00,19683736,69746686,CF-76740568,
48,WF20220718004,2022/7/18 上午 12:00:00,1113,郵電費,2,2418.00,19683736,69746686,CF-76740568,
49,WF20220724001,2022/7/24 上午 12:00:00,6113,停車費,1,30.00,72776403,69746686,CZ79161798,
50,WF20220724001,2022/7/24 上午 12:00:00,6123,停車費,1,0.00,72776403,69746686,CZ79161798,
51,WF20220724001,2022/7/24 上午 12:00:00,1113,停車費,2,30.00,72776403,69746686,CZ79161798,
52,WF20220729001,2022/7/29 上午 12:00:00,6113,油資,1,129.00,98981766,69746686,CB22810505,
53,WF20220729001,2022/7/29 上午 12:00:00,6123,油資,1,6.00,98981766,69746686,CB22810505,
54,WF20220729001,2022/7/29 上午 12:00:00,1113,油資,2,135.00,98981766,69746686,CB22810505,
