序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,
1,WF20220401001,2022/4/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,
2,WF20220401001,2022/4/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,
3,WF20220401002,2022/4/1 上午 12:00:00,6112,租金支出,1,1000.00,,,
4,WF20220401002,2022/4/1 上午 12:00:00,1262,租金支出,2,1000.00,,,
5,WF20220402001,2022/4/2 上午 12:00:00,6112,Office365,1,375.00,,,
6,WF20220402001,2022/4/2 上午 12:00:00,6123,Office365,1,19.00,,,
7,WF20220402001,2022/4/2 上午 12:00:00,1113,Office365,2,394.00,,,
8,WF20220403003,2022/4/3 上午 12:00:00,6113,營業費用,1,740.00,45458312,69746686,
9,WF20220403003,2022/4/3 上午 12:00:00,6123,營業費用,1,37.00,45458312,69746686,
10,WF20220403003,2022/4/3 上午 12:00:00,1113,營業費用,2,777.00,45458312,69746686,
11,WF20220409001,2022/4/9 上午 12:00:00,6113,營業費用,1,245.00,98981766,69746686,
12,WF20220409001,2022/4/9 上午 12:00:00,6123,營業費用,1,12.00,98981766,69746686,
13,WF20220409001,2022/4/9 上午 12:00:00,1113,營業費用,2,257.00,98981766,69746686,
14,WF20220411001,2022/4/11 上午 12:00:00,6113,營業費用,1,150.00,98981766,69746686,
15,WF20220411001,2022/4/11 上午 12:00:00,6123,營業費用,1,8.00,98981766,69746686,
16,WF20220411001,2022/4/11 上午 12:00:00,1113,營業費用,2,158.00,98981766,69746686,
17,WF20220417001,2022/4/17 上午 12:00:00,6114,油資,1,143.00,,,
18,WF20220417001,2022/4/17 上午 12:00:00,6123,油資,1,7.00,,,
19,WF20220417001,2022/4/17 上午 12:00:00,1113,油資,2,150.00,,,
20,WF20220418001,2022/4/18 上午 12:00:00,6113,營業費用,1,277.00,98981766,69746686,
21,WF20220418001,2022/4/18 上午 12:00:00,6123,營業費用,1,14.00,98981766,69746686,
22,WF20220418001,2022/4/18 上午 12:00:00,1113,營業費用,2,291.00,98981766,69746686,
23,WF20220420001,2022/4/20 上午 12:00:00,6134,營業費用,1,13.00,61431608,69746686,
24,WF20220420001,2022/4/20 上午 12:00:00,6123,營業費用,1,1.00,61431608,69746686,
25,WF20220420001,2022/4/20 上午 12:00:00,1113,營業費用,2,14.00,61431608,69746686,
26,WF20220420004,2022/4/20 上午 12:00:00,6134,營業費用,1,11.00,61431608,69746686,
27,WF20220420004,2022/4/20 上午 12:00:00,6123,營業費用,1,1.00,61431608,69746686,
28,WF20220420004,2022/4/20 上午 12:00:00,1113,營業費用,2,12.00,61431608,69746686,
29,WF20220423001,2022/4/23 上午 12:00:00,6113,營業費用,1,367.00,98981766,69746686,
30,WF20220423001,2022/4/23 上午 12:00:00,6123,營業費用,1,18.00,98981766,69746686,
31,WF20220423001,2022/4/23 上午 12:00:00,1113,營業費用,2,385.00,98981766,69746686,
32,WF20220424001,2022/4/24 上午 12:00:00,6113,營業費用,1,152.00,98981766,69746686,
33,WF20220424001,2022/4/24 上午 12:00:00,6123,營業費用,1,8.00,98981766,69746686,
34,WF20220424001,2022/4/24 上午 12:00:00,1113,營業費用,2,160.00,98981766,69746686,
35,WF20220429001,2022/4/29 上午 12:00:00,6111,4月份業務支出,1,684.00,,,
36,WF20220429001,2022/4/29 上午 12:00:00,6123,4月份業務支出,1,34.00,,,
37,WF20220429001,2022/4/29 上午 12:00:00,1113,4月份業務支出,2,718.00,,,
38,WF20220429002,2022/4/29 上午 12:00:00,6134,電話費,1,657.00,,,
39,WF20220429002,2022/4/29 上午 12:00:00,6123,電話費,1,33.00,,,
40,WF20220429002,2022/4/29 上午 12:00:00,1113,電話費,2,690.00,,,
41,WF20220430001,2022/4/30 上午 12:00:00,6113,營業費用,1,148.00,98981766,69746686,
42,WF20220430001,2022/4/30 上午 12:00:00,6123,營業費用,1,7.00,98981766,69746686,
43,WF20220430001,2022/4/30 上午 12:00:00,1113,營業費用,2,155.00,98981766,69746686,
