序號,傳票,日期,科目,描述,借/貸,金額,銷售人統編,購買人統編,發票,
1,WF20220801001,2022/8/1 上午 12:00:00,6112,營業地租金,1,1000.00,,,,
2,WF20220801001,2022/8/1 上午 12:00:00,1262,營業地租金,2,1000.00,,,,
3,WF20220801003,2022/8/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,,,,
4,WF20220801003,2022/8/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,,,,
5,WF20220802001,2022/8/2 上午 12:00:00,6112,Office365,1,375.00,23525730,69746686,CV74798152,
6,WF20220802001,2022/8/2 上午 12:00:00,6123,Office365,1,19.00,,,CV74798152,
7,WF20220802001,2022/8/2 上午 12:00:00,1113,Office365,2,394.00,,,CV74798152,
8,WF20220815001,2022/8/15 上午 12:00:00,6116,20220815-手機費-郵電費,1,998.00,70771579,69746686,CM39318079,
9,WF20220815001,2022/8/15 上午 12:00:00,6123,20220815-手機費-郵電費,1,53.00,70771579,69746686,CM39318079,
10,WF20220815001,2022/8/15 上午 12:00:00,1113,20220815-手機費-郵電費,2,1051.00,70771579,69746686,CM39318079,
11,WF20220816001,2022/8/16 上午 12:00:00,6116,郵電費,1,684.00,19683736,69746686,CF-76877902,
12,WF20220816001,2022/8/16 上午 12:00:00,6123,郵電費,1,34.00,19683736,69746686,CF-76877902,
13,WF20220816001,2022/8/16 上午 12:00:00,1113,郵電費,2,718.00,19683736,69746686,CF-76877902,
14,WF20220820001,2022/8/20 上午 12:00:00,6113,油資,1,146.00,98981766,69746686,CB22810898,
15,WF20220820001,2022/8/20 上午 12:00:00,6123,油資,1,7.00,98981766,69746686,CB22810898,
16,WF20220820001,2022/8/20 上午 12:00:00,1113,油資,2,153.00,98981766,69746686,CB22810898,
17,WF20220828001,2022/8/28 上午 12:00:00,6113,油資,1,640.00,98981766,69746686,CB22810965,
18,WF20220828001,2022/8/28 上午 12:00:00,6123,油資,1,32.00,98981766,69746686,CB22810965,
19,WF20220828001,2022/8/28 上午 12:00:00,1113,油資,2,672.00,98981766,69746686,CB22810965,
