序號,項目,會計科目,月份,當期日,傳票,說明,發票,借/貸,金額,所屬月份,
2861,1,6134,1,2020/1/31 上午 12:00:00,WF20200131004,1月份預付投資、最新消息媒體費,,1,775.00,,
2862,2,1262,1,2020/1/31 上午 12:00:00,WF20200131004,1月份預付投資、最新消息媒體費,,2,775.00,,
2919,1,6134,2,2020/2/29 上午 12:00:00,WF20200229003,2月份預付投資、最新消息媒體費,,1,515.00,,
2920,2,1262,2,2020/2/29 上午 12:00:00,WF20200229003,2月份預付投資、最新消息媒體費,,2,515.00,,
1760,1,6134,3,2020/3/1 上午 12:00:00,WF20200301002,3月份預付投資、最新消息媒體費,,1,515.00,,
1761,2,1262,3,2020/3/1 上午 12:00:00,WF20200301002,3月份預付投資、最新消息媒體費,,2,515.00,,
1876,1,6134,4,2020/4/1 上午 12:00:00,WF20200401002,4月份預付投資、最新消息媒體費,,1,515.00,,
1877,2,1262,4,2020/4/1 上午 12:00:00,WF20200401002,4月份預付投資、最新消息媒體費,,2,515.00,,
2263,1,6134,8,2020/8/1 上午 12:00:00,WF20200801002,8月份預付投資、最新消息媒體費,,1,510.00,,
2264,2,1262,8,2020/8/1 上午 12:00:00,WF20200801002,8月份預付投資、最新消息媒體費,,2,510.00,,
2322,1,6134,9,2020/9/1 上午 12:00:00,WF20200901002,9月份預付投資、最新消息媒體費,,1,510.00,,
2323,2,1262,9,2020/9/1 上午 12:00:00,WF20200901002,9月份預付投資、最新消息媒體費,,2,510.00,,
2428,1,6134,10,2020/10/1 上午 12:00:00,WF20201001002,10月份預付投資、最新消息媒體費,,1,510.00,,
2429,2,1262,10,2020/10/1 上午 12:00:00,WF20201001002,10月份預付投資、最新消息媒體費,,2,510.00,,
2403,1,6134,11,2020/11/1 上午 12:00:00,WF20201101002,11月份預付投資、最新消息媒體費,,1,510.00,,
2404,2,1262,11,2020/11/1 上午 12:00:00,WF20201101002,11月份預付投資、最新消息媒體費,,2,510.00,,
2608,1,6134,12,2020/12/1 上午 12:00:00,WF20201201002,12月份預付投資、最新消息媒體費,,1,510.00,,
2609,2,1262,12,2020/12/1 上午 12:00:00,WF20201201002,12月份預付投資、最新消息媒體費

,,2,510.00,,
