序號,傳票,日期,科目,描述,借/貸,金額,
1,WF20211101001,2021/11/1 上午 12:00:00,6114,20211016--油資,1,136.00,
2,WF20211101001,2021/11/1 上午 12:00:00,6123,20211016--油資,1,7.00,
3,WF20211101001,2021/11/1 上午 12:00:00,1113,20211016--油資,2,143.00,
4,WF20211101002,2021/11/1 上午 12:00:00,6134,媒體投資娛樂費,1,512.00,
5,WF20211101002,2021/11/1 上午 12:00:00,1262,媒體投資娛樂費,2,512.00,
6,WF20211102001,2021/11/2 上午 12:00:00,6112,Office365,1,375.00,
7,WF20211102001,2021/11/2 上午 12:00:00,6123,Office365,1,19.00,
8,WF20211102001,2021/11/2 上午 12:00:00,1113,Office365,2,394.00,
9,WF20211103001,2021/11/3 上午 12:00:00,6114,油資,1,150.00,
10,WF20211103001,2021/11/3 上午 12:00:00,6123,油資,1,8.00,
11,WF20211103001,2021/11/3 上午 12:00:00,1113,油資,2,158.00,
12,WF20211106001,2021/11/6 上午 12:00:00,6134,百貨,1,170.00,
13,WF20211106001,2021/11/6 上午 12:00:00,6123,百貨,1,8.00,
14,WF20211106001,2021/11/6 上午 12:00:00,1113,百貨,2,178.00,
15,WF20211106002,2021/11/6 上午 12:00:00,6134,負責人電話津貼,1,684.00,
16,WF20211106002,2021/11/6 上午 12:00:00,6123,負責人電話津貼,1,34.00,
17,WF20211106002,2021/11/6 上午 12:00:00,1113,負責人電話津貼,2,718.00,
18,WF20211107001,2021/11/7 上午 12:00:00,6134,百貨,1,67.00,
19,WF20211107001,2021/11/7 上午 12:00:00,6123,百貨,1,3.00,
20,WF20211107001,2021/11/7 上午 12:00:00,1113,百貨,2,70.00,
21,WF20211112001,2021/11/12 上午 12:00:00,6114,油資,1,150.00,
22,WF20211112001,2021/11/12 上午 12:00:00,6123,油資,1,7.00,
23,WF20211112001,2021/11/12 上午 12:00:00,6114,油資,1,150.00,
24,WF20211112001,2021/11/12 上午 12:00:00,1113,油資,2,157.00,
25,WF20211114001,2021/11/14 上午 12:00:00,6134,借用汔車百貨,1,14.00,
26,WF20211114001,2021/11/14 上午 12:00:00,6123,借用汔車百貨,1,1.00,
27,WF20211114001,2021/11/14 上午 12:00:00,1113,借用汔車百貨,2,15.00,
28,WF20211116001,2021/11/16 上午 12:00:00,6116,郵電費,1,646.00,
29,WF20211116001,2021/11/16 上午 12:00:00,6123,郵電費,1,32.00,
30,WF20211116001,2021/11/16 上午 12:00:00,1113,郵電費,2,678.00,
31,WF20211125001,2021/11/25 上午 12:00:00,6123,油資,1,8.00,
32,WF20211125001,2021/11/25 上午 12:00:00,1113,油資,2,158.00,
33,WF20211127001,2021/11/27 上午 12:00:00,6114,汔車油資,1,288.00,
34,WF20211127001,2021/11/27 上午 12:00:00,6123,汔車油資,1,14.00,
35,WF20211127001,2021/11/27 上午 12:00:00,1113,汔車油資,2,302.00,
36,WF20211127002,2021/11/27 上午 12:00:00,6114,停車費,1,71.00,
37,WF20211127002,2021/11/27 上午 12:00:00,6123,停車費,1,4.00,
38,WF20211127002,2021/11/27 上午 12:00:00,1113,停車費,2,75.00,
39,WF20211127003,2021/11/27 上午 12:00:00,6114,汔車油資,1,95.00,
40,WF20211127003,2021/11/27 上午 12:00:00,6123,汔車油資,1,5.00,
41,WF20211127003,2021/11/27 上午 12:00:00,1113,汔車油資,2,100.00,
42,WF20211127004,2021/11/27 上午 12:00:00,6114,汔車油資,1,94.00,
43,WF20211127004,2021/11/27 上午 12:00:00,6123,汔車油資,1,5.00,
44,WF20211127004,2021/11/27 上午 12:00:00,1113,汔車油資,2,99.00,
45,WF20211128001,2021/11/28 上午 12:00:00,6114,汔車油資,1,445.00,
46,WF20211128001,2021/11/28 上午 12:00:00,6123,汔車油資,1,22.00,
47,WF20211128001,2021/11/28 上午 12:00:00,1113,汔車油資,2,467.00,
48,WF20211128002,2021/11/28 上午 12:00:00,6114,借用汔車百貨,1,142.00,
49,WF20211128002,2021/11/28 上午 12:00:00,6123,借用汔車百貨,1,7.00,
50,WF20211128002,2021/11/28 上午 12:00:00,1113,借用汔車百貨,2,149.00,
