序號,日期,傳票,項目,科目,描述,金額,借/貸
,2021/2/22 上午 12:00:00,WF20210222001,1,6116,2月份郵電費,765,1
,2021/2/22 上午 12:00:00,WF20210222001,3,1113,2月份郵電費,803,2
,2021/3/16 上午 12:00:00,WF20210316001,1,6116,3月份郵電費,692,1
,2021/3/16 上午 12:00:00,WF20210316001,3,1113,3月份郵電費,727,2
,2021/4/1 上午 12:00:00,WF20210419001,1,6116,4月份郵電費,727,1
,2021/4/1 上午 12:00:00,WF20210419001,3,1113,4月份郵電費,763,2
,2021/5/18 上午 12:00:00,WF20210518001,1,6116,5月份郵電費,747,1
,2021/5/18 上午 12:00:00,WF20210518001,2,1113,5月份郵電費,784,2
,2021/6/30 上午 12:00:00,WF20210630002,1,6116,應付6月份郵電費,2529,1
,2021/6/30 上午 12:00:00,WF20210630002,2,2171,應付6月份郵電費,2529,2
,2021/7/1 上午 12:00:00,WF20210716001,1,6116,7月份郵電費,2409,1
,2021/7/1 上午 12:00:00,WF20210716001,3,1113,7月份郵電費,2529,2
,2021/7/30 上午 12:00:00,WF20210730001,1,6116,伺服器費用-網域,523,1
,2021/7/30 上午 12:00:00,WF20210730001,3,1113,伺服器費用-網域,549,2
,2021/8/17 上午 12:00:00,WF20210817001,1,6116,8月份郵電費,637,1
,2021/8/17 上午 12:00:00,WF20210817001,3,1113,8月份郵電費,669,2
,2021/9/21 上午 12:00:00,WF20210921001,1,6116,停車費,129,1
,2021/9/21 上午 12:00:00,WF20210921001,3,1113,停車費,135,2
,2021/10/18 上午 12:00:00,WF20211018001,1,6116,郵電費,637,1
,2021/10/18 上午 12:00:00,WF20211018001,3,1113,郵電費,669,2
,2021/11/16 上午 12:00:00,WF20211116001,1,6116,郵電費,646,1
,2021/11/16 上午 12:00:00,WF20211116001,3,1113,郵電費,678,2
,2021/12/16 上午 12:00:00,WF20211216001,1,6116,郵電費,652,1
,2021/12/16 上午 12:00:00,WF20211216001,3,1113,郵電費,685,2
,2021/11/25 上午 12:00:00,WF20211125001,2,1113,油資,158,2
,2021/11/25 上午 12:00:00,WF20211125001,3,6114,油資,150,1
,2021/2/11 上午 12:00:00,WF20210211001,1,6134,五金百貨,100,1
,2021/2/11 上午 12:00:00,WF20210211001,3,1113,五金百貨,105,2
,2021/3/19 上午 12:00:00,WF20210319001,1,6134,停車費,19,1
,2021/3/19 上午 12:00:00,WF20210319001,3,1113,停車費,20,2
,2021/4/8 上午 12:00:00,WF20210408002,1,6134,出差停車費,19,1
,2021/4/8 上午 12:00:00,WF20210408002,3,1113,出差停車費,20,2
,2021/5/5 上午 12:00:00,WF20210505002,1,6134,有線電視投資、時事取得,512,1
,2021/5/5 上午 12:00:00,WF20210505002,2,1262,有線電視投資、時事取得,512,2
,2021/6/5 上午 12:00:00,WF20210605001,1,6134,有線電視投資、時事取得,512,1
,2021/6/5 上午 12:00:00,WF20210605001,2,1262,有線電視投資、時事取得,512,2
,2021/7/10 上午 12:00:00,WF20210710001,1,6134,有線電視投資、時事取得,512,1
,2021/7/10 上午 12:00:00,WF20210710001,2,1262,有線電視投資、時事取得,512,2
,2021/8/10 上午 12:00:00,WF20210810001,1,6134,有線電視投資、時事取得,512,1
,2021/8/10 上午 12:00:00,WF20210810001,2,1262,有線電視投資、時事取得,512,2
,2021/8/23 上午 12:00:00,WF20210823001,1,6134,公司行銷業務補貼行動費用,684,1
,2021/8/23 上午 12:00:00,WF20210823001,3,1113,公司行銷業務補貼行動費用,718,2
,2021/9/1 上午 12:00:00,WF20210901001,1,6134,110-08-07-無糖烏龍茶,1086,1
,2021/9/8 上午 12:00:00,WF20210908001,1,6134,32吋電視,4752,1
,2021/9/8 上午 12:00:00,WF20210908001,3,1113,32吋電視,4990,2
,2021/9/10 上午 12:00:00,WF20210910001,1,6134,有線電視投資、時事取得,512,1
,2021/9/10 上午 12:00:00,WF20210910001,2,1262,有線電視投資、時事取得,512,2
,2021/9/13 上午 12:00:00,WF20210913001,1,6134,停車費,20,1
,2021/9/13 上午 12:00:00,WF20210913001,2,1113,停車費,20,2
,2021/9/25 上午 12:00:00,WF20210925001,1,6134,電話端子6P*2P,10,1
,2021/9/25 上午 12:00:00,WF20210925001,2,1113,電話端子6P*2P,10,2
,2021/10/26 上午 12:00:00,WF20211026001,1,6134,電池,48,1
,2021/10/26 上午 12:00:00,WF20211026001,3,1113,電池,50,2
,2021/11/1 上午 12:00:00,WF20211101002,1,6134,媒體投資娛樂費,512,1
,2021/11/1 上午 12:00:00,WF20211101002,2,1262,媒體投資娛樂費,512,2
,2021/11/6 上午 12:00:00,WF20211106001,1,6134,百貨,170,1
,2021/11/6 上午 12:00:00,WF20211106001,3,1113,百貨,178,2
,2021/11/6 上午 12:00:00,WF20211106002,1,6134,負責人電話津貼,684,1
,2021/11/6 上午 12:00:00,WF20211106002,3,1113,負責人電話津貼,718,2
,2021/11/7 上午 12:00:00,WF20211107001,1,6134,百貨,67,1
,2021/11/7 上午 12:00:00,WF20211107001,3,1113,百貨,70,2
,2021/11/14 上午 12:00:00,WF20211114001,1,6134,借用汔車百貨,14,1
,2021/11/14 上午 12:00:00,WF20211114001,3,1113,借用汔車百貨,15,2
,2021/12/1 上午 12:00:00,WF20211201001,1,6134,辛勞津貼-餐費,138,1
,2021/12/1 上午 12:00:00,WF20211201001,3,1113,辛勞津貼-餐費,145,2
,2021/12/1 上午 12:00:00,WF20211201002,1,6134,媒體投資娛樂費,512,1
,2021/12/1 上午 12:00:00,WF20211201002,2,1262,媒體投資娛樂費,512,2
,2021/12/5 上午 12:00:00,WF20211205001,1,6134,停車費,29,1
,2021/12/5 上午 12:00:00,WF20211205001,3,1113,停車費,30,2
,2021/12/6 上午 12:00:00,WF20211206001,1,6134,停車費-修鎖,19,1
,2021/12/6 上午 12:00:00,WF20211206001,3,1113,停車費-修鎖,20,2
,2021/12/6 上午 12:00:00,WF20211206002,1,6134,負責人電話津貼,688,1
,2021/12/6 上午 12:00:00,WF20211206002,3,1113,負責人電話津貼,722,2
,2021/12/28 上午 12:00:00,WF20211228001,1,6134,發票,18,1
,2021/12/28 上午 12:00:00,WF20211228001,2,1113,發票,18,2
,2021/12/28 上午 12:00:00,WF20211228002,1,6134,寄發票-郵資,28,1
,2021/12/28 上午 12:00:00,WF20211228002,2,1113,寄發票-郵資,28,2
