序號,會計編碼,日期,傳票編號,摘要,種類,借,貸,借/貸,餘額
1,1113,1110101,WF20220101002,2021-11-25-車用充電器,2,,59
2,1113,1110101,WF20220101003,2021-11-26-公司福利-茶點,2,,285
3,1113,1110102,WF20220102001,Office365,2,,394
4,1113,1110103,WF20220103001,案件支付頭期款,1,10000,
5,1113,1110105,WF20220105001,油資,2,,244
6,1113,1110107,WF20220107001,油資,2,,152
7,1113,1110108,WF20220108001,蕭榮濱-110年預付薪資發放,2,,9000
8,1113,1110109,WF20220109001,公司負責人交際費,2,,117
9,1113,1110109,WF20220109002,管理費用-公司負責人津貼,2,,768
10,1113,1110116,WF20220116001,油資,2,,327
11,1113,1110117,WF20220117001,油資,2,,50
12,1113,1110119,WF20220119001,組裝零件-螺母,2,,9
13,1113,1110119,WF20220119002,碳鋅電池-使用在網路工具的量測電池,2,,35
14,1113,1110119,WF20220119003,擦拭布,2,,30
15,1113,1110120,WF20220120001,2.5吋外接盒藍,2,,224
16,1113,1110120,WF20220120002,SSD 2.5吋 120G/240G/480,2,,465
17,1113,1110122,WF20220122001,ic卡*100,2,,519
18,1113,1110124,WF20220124001,電子零件*1
IC讀卡機*5,2,,1150
19,1113,1110126,WF20220126001,usb集線器,2,,195
20,1113,1110126,WF20220126002,油資,2,,152
21,1113,1110126,WF20220126003,IC卡,2,,200
22,1113,1110202,WF20220202001,Office365,2,,394
23,1113,1110203,WF20220203001,管理費用-公司負責人電話費用,2,,718
24,1113,1110204,WF20220204001,延長線-1開4插(15尺)*2,2,,489
25,1113,1110206,WF20220206001,油資,2,,240
26,1113,1110208,WF20220208001,預付租金,2,,1530
27,1113,1110210,WF20220210001,公司負責人津貼,2,,598
28,1113,1110210,WF20220210002,公司負責人津貼,2,,777
29,1113,1110211,WF20220211001,油資,2,,145
30,1113,1110214,WF20220214001,百貨用品,2,,48
31,1113,1110214,WF20220214002,攝影機 1290(稅)
腳架 250 (稅),2,,1540
32,1113,1110214,WF20220214003,油資,2,,200
33,1113,1110214,WF20220223001,小桌子*2 ,2,,693
34,1113,1110216,WF20220216001,發票章,2,,160
35,1113,1110216,WF20220216002,標準信封、膠水、中油筆、筆

,2,,36
36,1113,1110216,WF20220216003,案件支付第一期款,1,10000,
37,1113,1110216,WF20220216004,一站式變更登業登記地費用,2,,715
38,1113,1110217,WF20220217001,零件銷售-發票寄送,2,,28
39,1113,1110218,WF20220218001,油資,2,,467
40,1113,1110220,WF20220220001,油資,2,,500
41,1113,1110220,WF20220220002,停車費,2,,60
42,1113,1110220,WF20220220003,停車費,2,,30
43,1113,1110223,WF20220223003,電燙斗,2,,478
44,1113,1110223,WF20220223004,百貨用品,2,,109
45,1113,1110224,WF20220224001,螺母-6mm 5H
修理,2,,9
46,1113,1110225,WF20220225001,預付薪資發放,2,,11000
47,1113,1110225,WF20220225002,管理費用-負責人津貼,2,,259
48,1113,1110227,WF20220227001,螺絲-機械- 5/32*1.25,2,,6
49,1113,1110301,WF20220301001,股東營業費用現金給予,1,10000,
50,1113,1110301,WF20220301002,租金支出-營業地,2,,12000
51,1113,1110302,WF20220302001,Office365,2,,394
52,1113,1110303,WF20220303001,3月份業務支出,2,,34
53,1113,1110306,WF20220306001,停車費用,2,,120
54,1113,1110307,WF20220307001,停車,2,,60
55,1113,1110309,WF20220309001,五金,2,,25
56,1113,1110311,WF20220311001,郵資,2,,28
57,1113,1110311,WF20220311001,銷售網路線、延長線、..等,1,626,
58,1113,1110312,WF20220312001,油資,2,,377
59,1113,1110313,WF20220313001,停車,2,,40
60,1113,1110314,WF20220314001,郵資,2,,44
61,1113,1110314,WF20220314002,嘟嘟房停車,2,,90
62,1113,1110314,WF20220314003,油資,2,,60
63,1113,1110314,WF20220314004,郵資,2,,28
64,1113,1110316,WF20220316001,嘟嘟房停車,2,,90
65,1113,1110317,WF20220317001,油資,2,,68
66,1113,1110318,WF20220318001,油資,2,,143
67,1113,1110318,WF20220318002,電話費,2,,699
68,1113,1110318,WF20220318003,相片沖洗，增資使用,2,,150
69,1113,1110319,WF20220319001,油資,2,,663
70,1113,1110322,WF20220322001,郵資,2,,28
71,1113,1110325,WF20220325001,油資,2,,20
72,1113,1110325,WF20220325003,油資,2,,159
73,1113,1110326,WF20220326001,停車,2,,40
74,1113,1110401,WF20220401003,股東營業費用現金給予,1,10000,
75,1113,1110402,WF20220402001,Office365,2,,394
76,1113,1110403,WF20220403003,營業費用,2,,777
77,1113,1110409,WF20220409001,營業費用,2,,257
78,1113,1110411,WF20220411001,營業費用,2,,158
79,1113,1110417,WF20220417001,油資,2,,150
80,1113,1110418,WF20220418001,營業費用,2,,291
81,1113,1110420,WF20220420001,營業費用,2,,14
82,1113,1110420,WF20220420004,營業費用,2,,12
83,1113,1110423,WF20220423001,營業費用,2,,385
84,1113,1110424,WF20220424001,營業費用,2,,160
85,1113,1110429,WF20220429001,4月份業務支出,2,,718
86,1113,1110429,WF20220429002,電話費,2,,690
87,1113,1110430,WF20220430001,營業費用,2,,155
88,1113,1110501,WF20220501001,股東營業費用現金給予,1,10000,
89,1113,1110507,WF20220507001,油資,2,,358
90,1113,1110508,WF20220508001,油資,2,,155
91,1113,1110518,WF20220518001,油資,2,,154
92,1113,1110521,WF20220521001,油資,2,,168
93,1113,1110524,WF20220524001,油資,2,,481
94,1113,1110530,WF20220530001,油資,2,,151
95,1113,1110601,WF20220601001,20220206--新店停車場,2,,260
96,1113,1110601,WF20220601002,20220220--油資,2,,1000
97,1113,1110603,WF20220603001,油資,2,,1454
