序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
32596,2019/7/26,WF20190726002,1121,7,金融資產-損失1.31%-2019/7/26,,34348,+
32602,2019/7/29,WF20190729001,6123,7,金融資產-損失39.49%-2019/7/29,20,,+
32599,2019/7/29,WF20190729001,7162,7,金融資產-損失39.49%-2019/7/29,4331,,+
32600,2019/7/29,WF20190729001,7243,7,金融資產-損失39.49%-2019/7/29,20,,+
32603,2019/7/29,WF20190729001,1113,7,金融資產-損失39.49%-2019/7/29,6635,,+
32601,2019/7/29,WF20190729001,1121,7,金融資產-損失39.49%-2019/7/29,,11006,+
32704,2019/9/10,WF20190910004,1121,9,金融資產-金融資產購買-2019/9/10,20280,,+
32703,2019/9/10,WF20190910004,7243,9,金融資產購買-2019/9/10,28,,+
32705,2019/9/10,WF20190910004,1113,9,金融資產購買-2019/9/10,,20308,+
33352,2019/12/31,WF20191231137,1113,12,金融資產-減資後銷售，略估損益為500-2019/10/3,53463,,+
33351,2019/12/31,WF20191231137,6123,12,金融資產-減資後銷售，略估損益為500-2019/10/4,161,,+
33350,2019/12/31,WF20191231137,7243,12,金融資產-減資後銷售，略估損益為500-2019/10/5,76,,+
33349,2019/12/31,WF20191231137,1121,12,金融資產-減資後銷售，略估損益為500-2019/10/6,,40150,+
33348,2019/12/31,WF20191231137,7161,12,金融資產-減資後銷售，略估損益為500-2019/10/7,,13550,+
