序號,日期,傳票,項目,科目,描述,金額,借/貸
1,2021/4/22 上午 12:00:00,WF20210422001,,5111,金心出勤打卡系統-料件-銷貨成本,750,1
2,2021/12/31 上午 12:00:00,WF20211231001,,5163,折舊-研發產品的原始碼及相關開發套件,22387,1
3,2021/12/31 上午 12:00:00,WF20211231002,,5163,108年、109年軟硬體研發智財,82313,1
4,2021/6/30 上午 12:00:00,WF20210630001,,5611,6月份薪資結算,23236,1
5,2021/6/30 上午 12:00:00,WF20210630001,,6120,6月份薪資結算,330,1
6,2021/6/30 上午 12:00:00,WF20210630001,,1281,6月份薪資結算,80,1
,,,,,,129096,
