序號,日期,傳票,項目,科目,描述,金額,借/貸
3682,2021/9/29 上午 12:00:00,WF20210929001,2,6123,電話費,7,1
3683,2021/9/29 上午 12:00:00,WF20210929001,3,1113,電話費,154,2
3687,2021/10/5 上午 12:00:00,WF20211005001,1,6114,油資,137,1
3688,2021/10/5 上午 12:00:00,WF20211005001,2,6123,油資,7,1
3689,2021/10/5 上午 12:00:00,WF20211005001,3,1113,油資,144,2
3690,2021/10/11 上午 12:00:00,WF20211011001,1,6114,油資,142,1
3691,2021/10/11 上午 12:00:00,WF20211011001,2,6123,油資,7,1
3692,2021/10/11 上午 12:00:00,WF20211011001,3,1113,油資,149,2
3699,2021/10/22 上午 12:00:00,WF20211022001,1,6114,郵資,150,1
3700,2021/10/22 上午 12:00:00,WF20211022001,2,6123,郵資,7,1
3701,2021/10/22 上午 12:00:00,WF20211022001,3,1113,郵資,157,2
3247,2021/11/1 上午 12:00:00,WF20211101001,1,6114,20211016--油資,136,1
3248,2021/11/1 上午 12:00:00,WF20211101001,2,6123,20211016--油資,7,1
3249,2021/11/1 上午 12:00:00,WF20211101001,3,1113,20211016--油資,143,2
3250,2021/11/3 上午 12:00:00,WF20211103001,1,6114,油資,150,1
3251,2021/11/3 上午 12:00:00,WF20211103001,2,6123,油資,8,1
3252,2021/11/3 上午 12:00:00,WF20211103001,3,1113,油資,158,2
3253,2021/11/12 上午 12:00:00,WF20211112001,1,6114,油資,150,1
3254,2021/11/12 上午 12:00:00,WF20211112001,2,6123,油資,7,1
3255,2021/11/12 上午 12:00:00,WF20211112001,3,1113,油資,157,2
3259,2021/11/27 上午 12:00:00,WF20211127001,1,6114,汔車油資,288,1
3260,2021/11/27 上午 12:00:00,WF20211127001,2,6123,汔車油資,14,1
3261,2021/11/27 上午 12:00:00,WF20211127001,3,1113,汔車油資,302,2
3268,2021/11/27 上午 12:00:00,WF20211127002,1,6114,停車費,71,1
3269,2021/11/27 上午 12:00:00,WF20211127002,2,6123,停車費,4,1
3270,2021/11/27 上午 12:00:00,WF20211127002,3,1113,停車費,75,2
3278,2021/11/27 上午 12:00:00,WF20211127003,1,6114,汔車油資,95,1
3279,2021/11/27 上午 12:00:00,WF20211127003,2,6123,汔車油資,5,1
3280,2021/11/27 上午 12:00:00,WF20211127003,3,1113,汔車油資,100,2
3262,2021/11/27 上午 12:00:00,WF20211127004,1,6114,汔車油資,94,1
3263,2021/11/27 上午 12:00:00,WF20211127004,2,6123,汔車油資,5,1
3264,2021/11/27 上午 12:00:00,WF20211127004,3,1113,汔車油資,99,2
3265,2021/11/28 上午 12:00:00,WF20211128001,1,6114,汔車油資,445,1
3266,2021/11/28 上午 12:00:00,WF20211128001,2,6123,汔車油資,22,1
3267,2021/11/28 上午 12:00:00,WF20211128001,3,1113,汔車油資,467,2
3298,2021/11/28 上午 12:00:00,WF20211128002,1,6114,借用汔車百貨,142,1
3299,2021/11/28 上午 12:00:00,WF20211128002,2,6123,借用汔車百貨,7,1
3300,2021/11/28 上午 12:00:00,WF20211128002,3,1113,借用汔車百貨,149,2
3284,2021/12/15 上午 12:00:00,WF20211215001,1,6114,案件合約--郵資,36,1
3285,2021/12/15 上午 12:00:00,WF20211215001,2,1113,案件合約--郵資,36,2
3295,2021/12/15 上午 12:00:00,WF20211215002,1,6114,油資,137,1
3296,2021/12/15 上午 12:00:00,WF20211215002,2,6123,油資,7,1
3297,2021/12/15 上午 12:00:00,WF20211215002,3,1113,油資,144,2
3275,2021/12/17 上午 12:00:00,WF20211217001,1,6114,汔車油資,265,1
3276,2021/12/17 上午 12:00:00,WF20211217001,2,6123,汔車油資,13,1
3277,2021/12/17 上午 12:00:00,WF20211217001,3,1113,汔車油資,278,2
3281,2021/12/28 上午 12:00:00,WF20211228003,1,6114,油資,110,1
3282,2021/12/28 上午 12:00:00,WF20211228003,2,6123,油資,6,1
3283,2021/12/28 上午 12:00:00,WF20211228003,3,1113,油資,116,2
2704,2021/1/18 上午 12:00:00,WF20210118001,1,6116,1月份郵電費,800,1
2705,2021/1/18 上午 12:00:00,WF20210118001,2,6123,1月份郵電費,40,1
2706,2021/1/18 上午 12:00:00,WF20210118001,3,1113,1月份郵電費,840,2
2753,2021/2/22 上午 12:00:00,WF20210222001,1,6116,2月份郵電費,765,1
2754,2021/2/22 上午 12:00:00,WF20210222001,2,6123,2月份郵電費,38,1
2755,2021/2/22 上午 12:00:00,WF20210222001,3,1113,2月份郵電費,803,2
2933,2021/3/16 上午 12:00:00,WF20210316001,1,6116,3月份郵電費,692,1
2934,2021/3/16 上午 12:00:00,WF20210316001,2,6123,3月份郵電費,35,1
2935,2021/3/16 上午 12:00:00,WF20210316001,3,1113,3月份郵電費,727,2
2966,2021/4/1 上午 12:00:00,WF20210419001,1,6116,4月份郵電費,727,1
2967,2021/4/1 上午 12:00:00,WF20210419001,2,6123,4月份郵電費,36,1
2968,2021/4/1 上午 12:00:00,WF20210419001,3,1113,4月份郵電費,763,2
3095,2021/5/18 上午 12:00:00,WF20210518001,1,6116,5月份郵電費,747,1
3097,2021/5/18 上午 12:00:00,WF20210518001,2,1113,5月份郵電費,784,2
3134,2021/5/18 上午 12:00:00,WF20210518001,3,6123,5月份郵電費,37,1
3155,2021/6/30 上午 12:00:00,WF20210630002,1,6116,應付6月份郵電費,2529,1
3156,2021/6/30 上午 12:00:00,WF20210630002,2,2171,應付6月份郵電費,2529,2
3168,2021/7/1 上午 12:00:00,WF20210716001,1,6116,7月份郵電費,,
支付電路費,2409,1,,,,,
3169,2021/7/1 上午 12:00:00,WF20210716001,2,6123,7月份郵電費,,
支付電路費,120,1,,,,,
3170,2021/7/1 上午 12:00:00,WF20210716001,3,1113,7月份郵電費,,
支付電路費,2529,2,,,,,
3222,2021/7/30 上午 12:00:00,WF20210730001,1,6116,伺服器費用-網域,523,1
3223,2021/7/30 上午 12:00:00,WF20210730001,2,6123,伺服器費用-網域,26,1
3224,2021/7/30 上午 12:00:00,WF20210730001,3,1113,伺服器費用-網域,549,2
3219,2021/8/17 上午 12:00:00,WF20210817001,1,6116,8月份郵電費,637,1
3220,2021/8/17 上午 12:00:00,WF20210817001,2,6123,8月份郵電費,32,1
3221,2021/8/17 上午 12:00:00,WF20210817001,3,1113,8月份郵電費,669,2
3676,2021/9/21 上午 12:00:00,WF20210921001,1,6116,停車費,129,1
3677,2021/9/21 上午 12:00:00,WF20210921001,2,6123,停車費,6,1
3678,2021/9/21 上午 12:00:00,WF20210921001,3,1113,停車費,135,2
3696,2021/10/18 上午 12:00:00,WF20211018001,1,6116,郵電費,637,1
3697,2021/10/18 上午 12:00:00,WF20211018001,2,6123,郵電費,32,1
3698,2021/10/18 上午 12:00:00,WF20211018001,3,1113,郵電費,669,2
3316,2021/11/16 上午 12:00:00,WF20211116001,1,6116,郵電費,646,1
3317,2021/11/16 上午 12:00:00,WF20211116001,2,6123,郵電費,32,1
