序號,科目,借/貸,描述,金額,
1,5111,1,金心出勤打卡系統-料件-銷貨成本,750.00,
2,5155,1,金心出勤打卡系統-運費,65.00,
3,5163,1,折舊-研發產品的原始碼及相關開發套件,104700.00,
4,5611,1,6月份薪資結算,44352.00,
