序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
1,1071231,WF20181231038,,6123,交易稅區分沖帳-屬於1070426,150,,-
2,1071231,WF20181231038,,7243,交易稅區分沖帳-屬於1070426,,150,-
3,1071231,WF20181231041,,6123,交易稅區分沖帳-屬於1070319,39,,-
4,1071231,WF20181231041,,7243,交易稅區分沖帳-屬於1070319,,39,-
5,1071231,WF20181231038,,7161,沖帳-WF20180426001-透過損益按公允價值衡量之金融資產,609,,r
6,1071231,WF20181231038,,1121,沖帳-WF20180426001-透過損益按公允價值衡量之金融資產,49431,,r
7,1071231,WF20181231038,,1113,沖帳-WF20180426001-透過損益按公允價值衡量之金融資產,,49819,r
8,1071231,WF20181231038,,7243,沖帳-WF20180426001-透過損益按公允價值衡量之金融資產,,221,r
9,1071231,WF20181231112,,1113,0426-透過損益按公允價值衡量之金融資產,49819,,+
10,1071231,WF20181231112,,7243,0426-透過損益按公允價值衡量之金融資產,71,,+
11,1071231,WF20181231112,,6123,0426-透過損益按公允價值衡量之金融資產,150,,+
12,1071231,WF20181231112,,7161,0426-透過損益按公允價值衡量之金融資產,,609,+
13,1071231,WF20181231112,,1121,0426-透過損益按公允價值衡量之金融資產,,49431,+
14,1071231,WF20181231041,,7161,沖帳-WF20180319004-透過損益按公允價值衡量之金融資產,271,,r
15,1071231,WF20181231041,,1121,沖帳-WF20180319004-透過損益按公允價值衡量之金融資產,12979,,r
16,1071231,WF20181231041,,1113,沖帳-WF20180319004-透過損益按公允價值衡量之金融資產,,13191,r
17,1071231,WF20181231041,,7243,沖帳-WF20180319004-透過損益按公允價值衡量之金融資產,,59,r
18,1071231,WF20181231113,,1113,0319-透過損益按公允價值衡量之金融資產,13191,,+
19,1071231,WF20181231113,,7243,0319-透過損益按公允價值衡量之金融資產,59,,+
20,1071231,WF20181231113,,6123,0319-透過損益按公允價值衡量之金融資產,,39,+
21,1071231,WF20181231113,,7161,0319-透過損益按公允價值衡量之金融資產,,232,+
22,1071231,WF20181231113,,1121,0319-透過損益按公允價值衡量之金融資產,,12979,+
23,1071231,WF20181231052,,7162,捐失1%-20180926,3933,,-
24,1071231,WF20181231052,,7243,透過損益按公允價值衡量之金融資產-20180926,68,,-
25,1071231,WF20181231052,,6123,交易稅-20180926,143,,-
26,1071231,WF20181231052,,1113,透過損益按公允價值衡量之金融資產-20180926,,47589,-
27,1071231,WF20181231052,,7162,捐失7.63%-20180926,,3722,-
