序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
1,1081231,WF20181231013,,6125,2018-06-04-Notebook,3325,,-
2,1081231,WF20181231013,,1586,2018-06-04-Notebook,,3325,-
3,1081231,WF20181231013,,1113,2018-06-04-Notebook,14800,,+
4,1081231,WF20181231013,,6123,2018-06-04-Notebook,,14095,+
5,1081231,WF20181231013,,1431,2018-06-04-Notebook,,705,+
